tier,auth_count,with_x,x_min,x_p25,x_median,x_p75,x_max,score_min,score_median,score_max,example_names
S,5,0,,,,,,348614,1446989,9857819,乃木坂46:0 | 櫻坂46:0 | 日向坂46:0 | BABYMETAL:0 | LE SSERAFIM:0
A,4,3,1857642,1857642,2100563,2100563,3309498,500,430363.5,668295,=LOVE:3309498 | AKB48:2100563 | FRUITS ZIPPER:1857642 | Perfume:0
B,10,8,53490,480662,716404.5,1110709,1556393,500,169308,358350,≠ME:1556393 | iLiFE!:1333932 | CUTIE STREET:1110709 | SKE48:786353 | CANDY TUNE:646456
C,18,14,12253,74006,363910.5,476095,888105,500,105010,391269,≒JOY:888105 | i☆Ris:725926 | きゅるりんってしてみて:604722 | ZOCX:560980 | STU48:476095
D,7,4,32066,32066,280018,317519,364888,40988,65773,109723,のんふぃく！:364888 | 夜光性アミューズ:317519 | Ill:242517 | まねきケチャ:32066 | バンドじゃないもん！MAXX NAKAYOSHI:0
