group_name,name_romanji,current_tier,spotify_popularity,spotify_followers,composite_followers_plus_pop100,assignment,manual_tier,vs_fan_floor_2822,gap_vs_fan_floor,flag_high_pop_low_fans,flag_low_pop_high_fans
開歌-かいか-,,D,12,2913,4113,inferred,,>= fan_floor,91,,Y
ピューパ!!,,D,11,2942,4042,inferred,,>= fan_floor,120,,Y
YOLOZ,YOLOZ,E,21,1932,4032,inferred,,< fan_floor,-890,,
BLUEGOATS,BLUEGOATS,E,21,1915,4015,inferred,,< fan_floor,-907,,
ポンコツコンポ,Ponkotsu_Konpo,E,22,1811,4011,inferred,,< fan_floor,-1011,,
ベロティカ,,E,25,1510,4010,inferred,,< fan_floor,-1312,Y,
雨模様のソラリス,,D,11,2903,4003,inferred,,>= fan_floor,81,,Y
AZATOY,AZATOY,E,20,1961,3961,inferred,,< fan_floor,-861,,
predia,Predia,D,9,3054,3954,inferred,,>= fan_floor,232,,Y
キングサリ,,E,16,2337,3937,inferred,,< fan_floor,-485,,
"Not Secured,Loose Ends","Not_Secured,_Loose_Ends",E,21,1814,3914,inferred,,< fan_floor,-1008,,
PRSMIN,PRSMIN,E,12,2671,3871,inferred,,< fan_floor,-151,,
シュレーディンガーの犬,Schrödinger_no_Inu,E,17,2162,3862,inferred,,< fan_floor,-660,,
ライスボール,,E,18,2041,3841,inferred,,< fan_floor,-781,,
LINKL PLANET,LINKL_PLANET,E,17,2136,3836,inferred,,< fan_floor,-686,,
airattic,Airattic,E,14,2331,3731,inferred,,< fan_floor,-491,,
Palette Parade,Palette_Parade,E,17,1984,3684,inferred,,< fan_floor,-838,,
愛乙女☆DOLL,.DOLL,D,6,3010,3610,inferred,,>= fan_floor,188,,Y
SAY-LA,SAY-LA,E,11,2504,3604,inferred,,< fan_floor,-318,,
KissBee,KissBee,E,8,2800,3600,inferred,,< fan_floor,-22,,
Sweet Alley,Sweet_Alley,E,17,1880,3580,inferred,,< fan_floor,-942,,
zanka,Zanka,E,18,1759,3559,inferred,,< fan_floor,-1063,,
びっくえんじぇる,,E,20,1558,3558,inferred,,< fan_floor,-1264,,
Axelight,Axelight,E,16,1944,3544,inferred,,< fan_floor,-878,,
シャニムニ＝パレード,,E,16,1914,3514,inferred,,< fan_floor,-908,,
